week_start,n_comments,mean_compound,median_compound,std_compound,aspect
2024-12-09,1,0.7964,0.7964,,Norris
2024-12-30,42,0.24503809523809525,0.29569999999999996,0.4313870985058072,Norris
2025-01-06,18,0.06422777777777779,0.0,0.5273181847865062,Norris
2025-02-24,13,0.11056923076923075,0.25,0.5124412200188027,Norris
2025-03-10,197,0.2345532994923858,0.25,0.5093904025359041,Norris
2025-03-17,90,0.09891444444444444,0.0,0.5031415228702604,Norris
2025-03-24,5,0.0,0.0,0.0,Norris
2025-03-31,249,0.1783847389558233,0.1134,0.48935189265681456,Norris
2025-04-07,251,0.11528525896414342,0.101,0.5757569512753039,Norris
2025-04-14,76,0.17411973684210527,0.1897,0.4973648217072955,Norris
2025-04-21,6,0.08651666666666667,0.0,0.5101966656757634,Norris
2025-04-28,214,0.19035186915887853,0.26395,0.5132929252475295,Norris
2025-05-05,329,0.14092249240121582,0.2144,0.566254730647219,Norris
2025-05-12,38,0.1008,0.1325,0.5749532366413153,Norris
2025-05-19,139,0.21423309352517986,0.2472,0.45559212854540704,Norris
2025-05-26,79,0.24623164556962027,0.296,0.49234738636202163,Norris
2025-06-09,247,0.06918178137651822,0.0,0.5371248600054163,Norris
2025-06-16,42,0.22426428571428572,0.365,0.5465638796582137,Norris
2025-06-23,104,0.14987788461538462,0.10289999999999999,0.5725503583154341,Norris
2025-06-30,223,-0.03817130044843049,-0.0,0.5705949498025662,Norris
2025-07-07,14,0.2599571428571429,0.6104,0.6823247046951786,Norris
2025-07-21,87,-0.010454022988505748,0.0,0.5656550162390661,Norris
2025-07-28,172,0.10834418604651164,0.17745,0.5687984324430105,Norris
2025-08-25,336,0.1979372023809524,0.25634999999999997,0.5306581800131195,Norris
2025-09-01,711,0.04332306610407877,0.0,0.5263830270682325,Norris
2025-09-08,352,0.1191627840909091,0.16675,0.5977861922861327,Norris
2025-09-15,221,0.18193755656108596,0.2649,0.5237864086641378,Norris
2025-09-22,10,0.23885,0.32965,0.6036546423429726,Norris
2025-09-29,451,0.03826984478935699,0.0,0.5164837386918265,Norris
2025-10-06,276,0.11397789855072464,0.1629,0.6307397739600731,Norris
2025-10-13,616,0.12840227272727273,0.036449999999999996,0.5093849328832615,Norris
2025-10-20,313,0.1817549520766773,0.2081,0.532633002996291,Norris
2025-10-27,8,0.005650000000000023,0.0028,0.6273130319067188,Norris
2025-11-03,227,0.15137356828193835,0.0387,0.5065815059100869,Norris
2025-11-10,5,0.32604,0.3818,0.49039497652402597,Norris
2025-11-17,553,0.16080524412296565,0.0258,0.4755269229847233,Norris
2025-11-24,1182,0.13672275803722506,0.10350000000000001,0.5269741639602773,Norris
2025-12-01,1202,0.24921381031613976,0.3818,0.5527738619516207,Norris
2025-12-08,200,0.2863205,0.3291,0.5135519854293644,Norris
2025-12-15,87,0.2733758620689655,0.431,0.5322951655311127,Norris
2025-12-29,53,0.27585094339622646,0.3412,0.42910675676457954,Norris
2024-02-26,9,0.2557,0.4215,0.40220063401242917,Piastri
2024-03-04,12,0.1567,0.02475,0.32756026510052666,Piastri
2024-03-11,2,0.6271,0.6271,0.443214530447728,Piastri
2024-03-18,24,0.11917083333333334,0.0,0.47863097383299263,Piastri
2024-04-15,1,0.431,0.431,,Piastri
2024-04-29,58,0.11539827586206897,0.22495,0.5731948339930092,Piastri
2024-05-06,79,-0.23497848101265825,-0.2057,0.5268333679712396,Piastri
2024-05-13,24,-0.020645833333333335,0.0,0.4288131132193144,Piastri
2024-05-20,20,0.35421,0.6725,0.6098288715093078,Piastri
2024-05-27,26,-0.023153846153846153,0.0,0.49870662416356115,Piastri
2024-06-03,38,0.1510236842105263,0.12755,0.534683751659579,Piastri
2024-06-10,7,0.5123,0.8791,0.71762754963839,Piastri
2024-06-17,20,0.011245000000000002,0.0,0.4353508173694067,Piastri
2024-06-24,19,0.08484736842105263,0.1779,0.5536854385423199,Piastri
2024-07-01,49,0.0660591836734694,0.0,0.5603743268708752,Piastri
2024-07-15,469,0.1114910447761194,0.0772,0.5344458860664076,Piastri
2024-07-22,169,0.26103491124260353,0.4019,0.5156527411240167,Piastri
2024-07-29,112,0.34149285714285715,0.42079999999999995,0.47963749162460534,Piastri
2024-08-19,64,0.3517171875,0.5022500000000001,0.5155993967741517,Piastri
2024-08-26,456,0.23462675438596492,0.29335,0.504119330312494,Piastri
2024-09-02,424,0.2725615566037736,0.3818,0.5573043666828859,Piastri
2024-09-09,228,0.31021491228070175,0.3693,0.48926273550940097,Piastri
2024-09-16,32,0.251378125,0.3164,0.5084185459767819,Piastri
2024-09-23,21,0.5718047619047619,0.7418,0.44264935273440814,Piastri
2024-10-14,43,0.06675581395348838,0.0,0.496505470310979,Piastri
2024-10-21,120,0.03915416666666667,0.0,0.4502119747045461,Piastri
2024-10-28,311,0.1499331189710611,0.0516,0.5064021129143437,Piastri
2024-11-04,127,0.3305692913385827,0.3818,0.4915041567606381,Piastri
2024-11-18,3,0.22360000000000002,0.0,0.6816822426908302,Piastri
2024-11-25,19,0.16051578947368422,0.296,0.5132352690565105,Piastri
2024-12-02,131,0.1489770992366412,0.0726,0.4574046248740126,Piastri
2024-12-09,5,0.20057999999999998,0.0,0.5221765429430931,Piastri
2024-12-30,4,0.614825,0.5442,0.2289375078487577,Piastri
2025-01-06,2,0.9298,0.9298,0.09050966799187812,Piastri
2025-02-24,4,-0.20222500000000002,-0.27115,0.5346954545969759,Piastri
2025-03-10,174,0.15984022988505747,0.15395,0.5303832165584456,Piastri
2025-03-17,132,0.2161090909090909,0.18415,0.5206540139159602,Piastri
2025-03-24,3,0.0,0.0,0.0,Piastri
2025-03-31,200,0.2238475,0.2485,0.472555889857427,Piastri
2025-04-07,184,0.22312010869565216,0.2841,0.5564470061796783,Piastri
2025-04-14,95,0.27174,0.296,0.48801264837985847,Piastri
2025-04-21,8,0.31451250000000003,0.1903,0.535224434733425,Piastri
2025-04-28,190,0.19356473684210523,0.3069,0.5129975009156456,Piastri
2025-05-05,220,0.22486545454545454,0.3291,0.5371204190445443,Piastri
2025-05-12,63,0.24056666666666665,0.2617,0.5213797278808999,Piastri
2025-05-19,23,0.15685217391304349,0.1043,0.5175004083174192,Piastri
2025-05-26,84,0.19167499999999998,0.12665,0.4811346678889168,Piastri
2025-06-09,147,0.2309387755102041,0.34,0.5233254580020075,Piastri
2025-06-16,31,0.17149032258064517,0.2617,0.5821544258784713,Piastri
2025-06-23,102,0.12467450980392158,0.0129,0.5312789272611306,Piastri
2025-06-30,291,-0.033684192439862544,0.0,0.5417258646574986,Piastri
